maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
90x90-525580,DFS,0.056949615478515625,0.31512811393927076,2007,9296,
90x90-525580,BFS,0.31453633308410645,7.553726566072245,299,47943,
90x90-525580,AStar,0.09458589553833008,12.599163406662264,299,7384,
90x90-525580,MDPValueIteration,13.753182172775269,12.487662788531559,299,,240
90x90-525580,MDPPolicyIteration,28.35672163963318,13.28523768395739,299,,177
100x100-613372,DFS,0.01489877700805664,0.1758539518027401,1055,2556,
100x100-613372,BFS,0.2722609043121338,7.536926958966283,377,42019,
100x100-613372,AStar,0.1308591365814209,12.585344375010584,377,9836,
100x100-613372,MDPValueIteration,20.666425704956055,12.487662788531559,377,,289
100x100-613372,MDPPolicyIteration,42.60076379776001,14.057477688021812,377,,207
110x110-164557,DFS,0.07426071166992188,0.5031753289640807,3373,12078,
110x110-164557,BFS,14.641947507858276,18.334197022811562,405,1891147,
110x110-164557,AStar,0.16474437713623047,27.40910091618825,405,11279,
110x110-164557,MDPValueIteration,28.249282360076904,24.97369980863351,405,,312
110x110-164557,MDPPolicyIteration,62.15817451477051,24.97369980863351,405,,235
120x120-943311,DFS,0.06619620323181152,0.39804230384934547,2575,11592,
120x120-943311,BFS,3.4711618423461914,15.293468136632288,443,508566,
120x120-943311,AStar,0.1802043914794922,27.86458703788379,443,12831,
120x120-943311,MDPValueIteration,38.15007710456848,24.97369980863351,443,,349
120x120-943311,MDPPolicyIteration,74.82580327987671,25.834815153516573,443,,213
130x130-85808,DFS,0.0943453311920166,0.6375721858117834,4415,15522,
130x130-85808,BFS,1.331214189529419,15.189418957137292,431,194315,
130x130-85808,AStar,0.20116543769836426,27.497434334197024,431,13036,
130x130-85808,MDPValueIteration,43.66393280029297,24.97369980863351,431,,355
130x130-85808,MDPPolicyIteration,100.40573477745056,26.850920422022387,431,,273
140x140-780250,DFS,0.12018775939941406,0.9052820538874494,5931,19974,
140x140-780250,BFS,0.7423496246337891,15.059899405578419,483,112572,
140x140-780250,AStar,0.2774350643157959,27.07270233196159,483,17957,
140x140-780250,MDPValueIteration,56.53091835975647,26.838456197395384,483,,396
