maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
150x150-619265,DFS,0.10783624649047852,0.9052820538874494,6327,18224,
150x150-619265,BFS,4.94251561164856,32.89403715558265,543,749372,
150x150-619265,AStar,0.38515329360961914,27.577232467950346,543,21809,
150x150-619265,MDPValueIteration,68.44295740127563,54.38479906518315,543,,421
150x150-619265,MDPPolicyIteration,157.8507616519928,54.38479906518315,543,,290
160x160-989264,DFS,0.18926143646240234,1.0180019983403614,5407,33074,
160x160-989264,BFS,4.140840768814087,32.607359989161544,609,622043,
160x160-989264,AStar,0.4337480068206787,63.795830581381566,609,23970,
160x160-989264,MDPValueIteration,85.2643678188324,54.888109874849704,609,,464
160x160-989264,MDPPolicyIteration,186.76649641990662,54.92875408558994,609,,327
170x170-45704,DFS,0.22001266479492188,0.823993632406984,5381,39156,
170x170-45704,BFS,6.301339149475098,32.6171145997392,607,946270,
170x170-45704,AStar,0.49656152725219727,62.743822926721876,607,28192,
170x170-45704,MDPValueIteration,98.3370463848114,55.39318193364833,607,,476
170x170-45704,MDPPolicyIteration,240.75577878952026,56.1460481972599,607,,323
180x180-772051,DFS,0.2930572032928467,1.0180019983403614,5267,52230,
180x180-772051,BFS,10.204755544662476,33.81476400955139,649,1482952,
180x180-772051,AStar,0.5723345279693604,63.83620383071686,649,31185,
180x180-772051,MDPValueIteration,118.97314882278442,57.55057663973988,649,,511
180x180-772051,MDPPolicyIteration,309.0198314189911,57.59122085048011,649,,364
190x190-655449,DFS,0.23198723793029785,1.2878795576555064,9417,39750,
190x190-655449,BFS,20.04308843612671,33.12110281291808,607,2656915,
190x190-655449,AStar,0.5567765235900879,61.9746989788142,607,30405,
190x190-655449,MDPValueIteration,129.34707880020142,58.5504242239496,607,,493
190x190-655449,MDPPolicyIteration,298.6162314414978,59.07243137055666,607,,318
200x200-630124,DFS,0.22726058959960938,1.6298328506833308,10967,35228,
200x200-630124,BFS,360.8998181819916,95.57296482582262,665,16295680,
200x200-630124,AStar,0.5619761943817139,62.875510169520226,665,30181,
200x200-630124,MDPValueIteration,155.5064880847931,61.05519145116767,665,,532
200x200-630124,MDPPolicyIteration,358.142128944397,61.095835661907905,665,,341
10x10-162117,DFS,0.0011065006256103516,0.014360954461548883,43,146,
10x10-162117,BFS,0.0008471012115478516,0.05839218276346763,23,85,
10x10-162117,AStar,0.0008311271667480469,0.10797811986655151,23,74,
10x10-162117,MDPValueIteration,0.011190652847290039,0.19468576944571458,23,,22
10x10-162117,MDPPolicyIteration,0.015712261199951172,0.20091788175921693,23,,13
20x20-280905,DFS,0.0024318695068359375,0.03061863875764196,117,522,
20x20-280905,BFS,0.002309083938598633,0.4740469779335806,51,405,
20x20-280905,AStar,0.002736330032348633,0.4171450828972548,51,239,
20x20-280905,MDPValueIteration,0.13287687301635742,0.7821300953445444,51,,52
20x20-280905,MDPPolicyIteration,0.3192253112792969,0.7924266287320699,51,,54
30x30-622246,DFS,0.0063517093658447266,0.0387474809056885,231,912,
30x30-622246,BFS,0.01252436637878418,0.9406425172314519,99,1074,
30x30-622246,AStar,0.011971712112426758,0.8100391200528375,99,625,
30x30-622246,MDPValueIteration,0.5780472755432129,1.5626344222594795,99,,79
30x30-622246,MDPPolicyIteration,1.076392650604248,1.61980727870074,99,,52
40x40-525197,DFS,0.013023138046264648,0.08752053379396772,523,2050,
40x40-525197,BFS,0.05887413024902344,1.8814205151653711,189,7766,
40x40-525197,AStar,0.02023482322692871,3.1591390201358194,189,1396,
40x40-525197,MDPValueIteration,1.8774912357330322,3.1232366339819473,189,,137
40x40-525197,MDPPolicyIteration,3.634228467941284,3.1526359464173823,189,,103
50x50-598107,DFS,0.019267559051513672,0.1390032007315958,795,2618,
50x50-598107,BFS,0.14897942543029785,1.90743281003912,143,16051,
50x50-598107,AStar,0.023627042770385742,1.6050398821317888,143,1313,
50x50-598107,MDPValueIteration,2.9761929512023926,3.1232366339819473,143,,124
50x50-598107,MDPPolicyIteration,6.168185710906982,3.5184338430794764,143,,103
60x60-411383,DFS,0.012801647186279297,0.08752053379396772,555,1476,
60x60-411383,BFS,0.08199954032897949,3.7635184338430796,203,8506,
60x60-411383,AStar,0.03060626983642578,3.1749902623245103,203,1762,
60x60-411383,MDPValueIteration,5.503288984298706,6.244847499534285,203,,161
60x60-411383,MDPPolicyIteration,11.141873598098755,6.463377872614269,203,,117
70x70-482756,DFS,0.06700849533081055,0.2219173906416705,923,7374,
70x70-482756,BFS,0.700716495513916,3.775440735660214,311,75580,
70x70-482756,AStar,0.07851290702819824,6.2940269945299665,311,4471,
70x70-482756,MDPValueIteration,11.387027740478516,6.244847499534285,311,,229
70x70-482756,MDPPolicyIteration,22.477864027023315,6.991752612237295,311,,166
80x80-310074,DFS,0.06313419342041016,0.31512811393927076,2057,7430,
80x80-310074,BFS,0.5583865642547607,7.568358481938729,323,66172,
80x80-310074,AStar,0.1335599422454834,12.87269894494403,323,5758,
80x80-310074,MDPValueIteration,15.373879432678223,12.487662788531559,323,,243
80x80-310074,MDPPolicyIteration,31.34135890007019,12.59509898558824,323,,172
90x90-783732,DFS,0.08909320831298828,0.31512811393927076,1627,11734,
90x90-783732,BFS,0.836721658706665,7.599790004911175,301,98065,
90x90-783732,AStar,0.1796865463256836,12.654304052566513,301,7478,
90x90-783732,MDPValueIteration,19.134387016296387,12.487662788531559,301,,241
90x90-783732,MDPPolicyIteration,39.505767822265625,13.286050568172197,301,,165
100x100-645988,DFS,0.0804281234741211,0.39804230384934547,2775,10032,
100x100-645988,BFS,0.7071530818939209,7.574861555657166,323,80344,
100x100-645988,AStar,0.19003891944885254,12.65552337888872,323,8949,
100x100-645988,MDPValueIteration,25.7210693359375,12.487662788531559,323,,262
100x100-645988,MDPPolicyIteration,60.92287516593933,14.05869701434402,323,,196
110x110-420699,DFS,0.08674311637878418,0.5031753289640807,3371,12136,
110x110-420699,BFS,7.919871091842651,17.041169198462295,317,1102133,
110x110-420699,AStar,0.16607069969177246,12.702535182644922,317,9787,
110x110-420699,MDPValueIteration,24.65399146080017,24.97369980863351,317,,272
110x110-420699,MDPPolicyIteration,49.674582719802856,24.97369980863351,317,,193
120x120-575726,DFS,0.1020207405090332,0.5660383749089739,3585,16602,
120x120-575726,BFS,2.0662975311279297,15.426781147860252,427,320031,
120x120-575726,AStar,0.23156261444091797,26.073532151264203,427,13773,
120x120-575726,MDPValueIteration,34.47824668884277,24.97369980863351,427,,333
120x120-575726,MDPPolicyIteration,80.1348922252655,25.835628037731375,427,,225
130x130-459304,DFS,0.09361529350280762,0.5660383749089739,3743,12954,
130x130-459304,BFS,302.5906116962433,51.1267591322461,459,16754821,
130x130-459304,AStar,0.28525376319885254,26.962827482260497,459,16198,
130x130-459304,MDPValueIteration,47.44305729866028,25.104303205812123,459,,359
130x130-459304,MDPPolicyIteration,103.76502776145935,26.851326864129792,459,,262
140x140-774346,DFS,0.11912655830383301,0.8050263340615421,5399,19678,
140x140-774346,BFS,4.73747706413269,15.659266033294383,503,689789,
140x140-774346,AStar,0.3135552406311035,28.15397381835425,503,17881,
140x140-774346,MDPValueIteration,55.617586612701416,25.95403817168792,503,,394
140x140-774346,MDPPolicyIteration,130.42583894729614,27.949533438330878,503,,261
150x150-249464,DFS,0.13623380661010742,0.9052820538874494,6627,21368,
150x150-249464,BFS,8.38444995880127,32.65288150519061,523,1139548,
150x150-249464,AStar,0.35997629165649414,27.617605717285645,523,20221,
150x150-249464,MDPValueIteration,69.29110836982727,54.38479906518315,523,,421
150x150-249464,MDPPolicyIteration,157.45587921142578,54.38479906518315,523,,293
160x160-174150,DFS,0.13883519172668457,0.8050263340615421,5655,21402,
160x160-174150,BFS,3.096864700317383,32.674558417585395,601,430423,
160x160-174150,AStar,0.4404327869415283,29.277650764619214,601,20209,
160x160-174150,MDPValueIteration,91.46418261528015,54.38479906518315,601,,460
